UTLA20CD,UTLA20NM,RGN20CD,RGN20NM,Year,UTLA_population,Region_population,National_population
E06000001,Hartlepool,E12000001,North East,2015,92498,2624579,54777305
E06000001,Hartlepool,E12000001,North East,2016,92845,2636589,55258490
E06000001,Hartlepool,E12000001,North East,2017,93019,2644727,55609517
E06000001,Hartlepool,E12000001,North East,2018,93242,2657909,55966230
E06000001,Hartlepool,E12000001,North East,2019,93663,2669941,56275016
E06000002,Middlesbrough,E12000001,North East,2015,139310,2624579,54777305
E06000002,Middlesbrough,E12000001,North East,2016,140326,2636589,55258490
E06000002,Middlesbrough,E12000001,North East,2017,140639,2644727,55609517
E06000002,Middlesbrough,E12000001,North East,2018,140545,2657909,55966230
E06000002,Middlesbrough,E12000001,North East,2019,140980,2669941,56275016
E06000003,Redcar and Cleveland,E12000001,North East,2015,135324,2624579,54777305
E06000003,Redcar and Cleveland,E12000001,North East,2016,135496,2636589,55258490
E06000003,Redcar and Cleveland,E12000001,North East,2017,136005,2644727,55609517
E06000003,Redcar and Cleveland,E12000001,North East,2018,136718,2657909,55966230
E06000003,Redcar and Cleveland,E12000001,North East,2019,137150,2669941,56275016
E06000004,Stockton-on-Tees,E12000001,North East,2015,195128,2624579,54777305
E06000004,Stockton-on-Tees,E12000001,North East,2016,195958,2636589,55258490
E06000004,Stockton-on-Tees,E12000001,North East,2017,196487,2644727,55609517
E06000004,Stockton-on-Tees,E12000001,North East,2018,197213,2657909,55966230
E06000004,Stockton-on-Tees,E12000001,North East,2019,197348,2669941,56275016
E06000005,Darlington,E12000001,North East,2015,105998,2624579,54777305
E06000005,Darlington,E12000001,North East,2016,106327,2636589,55258490
E06000005,Darlington,E12000001,North East,2017,106347,2644727,55609517
E06000005,Darlington,E12000001,North East,2018,106566,2657909,55966230
E06000005,Darlington,E12000001,North East,2019,106803,2669941,56275016
E06000006,Halton,E12000002,North West,2015,126719,7175178,54777305
E06000006,Halton,E12000002,North West,2016,127306,7223961,55258490
E06000006,Halton,E12000002,North West,2017,127595,7258627,55609517
E06000006,Halton,E12000002,North West,2018,128432,7292093,55966230
E06000006,Halton,E12000002,North West,2019,129410,7341196,56275016
E06000007,Warrington,E12000002,North West,2015,207781,7175178,54777305
E06000007,Warrington,E12000002,North West,2016,208973,7223961,55258490
E06000007,Warrington,E12000002,North West,2017,209704,7258627,55609517
E06000007,Warrington,E12000002,North West,2018,209547,7292093,55966230
E06000007,Warrington,E12000002,North West,2019,210014,7341196,56275016
E06000008,Blackburn with Darwen,E12000002,North West,2015,147856,7175178,54777305
E06000008,Blackburn with Darwen,E12000002,North West,2016,148462,7223961,55258490
E06000008,Blackburn with Darwen,E12000002,North West,2017,148772,7258627,55609517
E06000008,Blackburn with Darwen,E12000002,North West,2018,148942,7292093,55966230
E06000008,Blackburn with Darwen,E12000002,North West,2019,149696,7341196,56275016
E06000009,Blackpool,E12000002,North West,2015,140162,7175178,54777305
E06000009,Blackpool,E12000002,North West,2016,139983,7223961,55258490
E06000009,Blackpool,E12000002,North West,2017,139870,7258627,55609517
E06000009,Blackpool,E12000002,North West,2018,139305,7292093,55966230
E06000009,Blackpool,E12000002,North West,2019,139446,7341196,56275016
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2015,258587,5390211,54777305
