Area code,Area name,ow_obs,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,activity,eating,Li.2.6.c,sti_screen,teen_preg,in_eet,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,Pl.1.3.a,road_safety,road_traff,Pl.2.2.a,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E06000001,Hartlepool,71.0220239127277,16.97,3.06345733,920.9208644399008,38.423628861157,19.2,114.51618909999998,60.872458799034796,49.58656690175779,37.5,569.0459595,33.2268370607029,3.4,25.8,12.2934,69.59064327485379,12.0,0.68,65.0,58.5,32.6,20.2,10.1,1.2,365,52.8,129.0,335.2,11.3,3.50653490596111,0.92,28.5,4.73,732.9300686,2.8,6.87,7.49,7.81,7.47,2.79,9.67,0.9,15.18,215.49963030000004,225.651109,7.1427,43.1,250.57,0.004436218,12.6,5.87,4.30019673400058,3.75,0.85,0.85,0.4,106.5051226,57.195061224050995,78.81543878132425,0.5800000000000001,4.965,2.0180000000000002,31.482919848788,102.0,69.19479210557668,87.3231551941119
E06000002,Middlesbrough,65.3695373086002,13.46,2.884615385,878.087367897269,45.5868792672945,18.6,171.046203,59.261464837523,56.266986269612104,37.5,651.1093139999998,43.81114419396,3.4,39.7,15.561370000000002,63.163317877382795,13.2,0.71,61.0,57.9,26.4,27.3,7.9,1.2,209,50.0,137.0,367.7,15.3,4.67775467775468,0.79,25.4,3.49,646.203096,2.22,6.93,7.63,7.84,7.39,2.99,8.86,0.93,17.44,330.1766209,614.7739376000002,7.744,40.5,262.87,0.014753991,15.4,7.65,4.266241938580337,4.44,0.63,0.63,0.47,121.9434154,57.846983411429264,77.8253393439942,0.59,4.395,1.798,32.335978498119005,115.0,66.72404843047322,89.76196952189646
E06000003,Redcar and Cleveland,67.733710095459,16.91,2.77992278,708.3754598764549,59.581712062256784,15.0,125.91209109999998,64.6778871212387,54.1000525335363,37.5,519.8470459,24.82435597189701,4.8,29.2,12.26789,68.8477127967574,19.0,0.67,69.0,60.1,26.9,18.0,6.9,1.0,429,52.6,86.0,293.9,9.9,3.48837209302326,0.95,23.8,3.44,526.3924082,3.25,7.69,7.72,7.91,7.6,2.73,12.38,1.04,17.75,253.9463131,541.5204371,7.3494,48.9,228.31,0.002468927,12.1,7.13,0.7352670857689055,4.63,0.71,0.71,0.48,76.57071431,60.13602588140142,79.652653211279,0.545,4.93,2.19,31.858014943314,58.0,72.18255893176155,92.61224188250864
E06000004,Stockton-on-Tees,65.86613638273249,14.91,3.9074550130000003,912.680016807822,71.2924073586163,15.0,139.3467284,62.4828565253496,56.846763235973995,37.5,511.455658,28.3349251830627,4.2,32.0,11.58261,69.3030540328896,14.3,0.46,64.0,63.1,21.2,16.2,5.6,0.8,372,51.3,101.0,272.0,9.2,3.72245384157236,0.98,23.0,4.08,615.7828731000002,2.71,6.78,7.79,7.98,7.56,2.79,13.55,0.78,15.0,247.8308293,365.6043747,7.3402,44.6,234.85,0.004736593,11.3,10.34,1.0178790454330309,5.33,0.76,0.76,0.47,75.21617206,58.781743321441105,79.77436115366412,0.57,4.59,1.9480000000000002,30.916935195130506,85.0,71.51510691582988,89.58208925719437
E06000005,Darlington,65.0052059042674,15.82,2.034883721,737.216684064554,50.19857967548101,14.4,131.98983629999998,63.7748533070761,51.557875058481905,37.5,821.8804932,23.3236151603499,3.3,17.6,13.55187,72.24770642201841,17.3,0.64,61.0,62.7,25.9,17.7,6.0,0.9,245,46.3,97.0,259.6,13.7,2.8506271379703505,0.98,21.1,4.48,713.7571698,3.05,7.52,7.74,7.87,7.54,2.79,11.76,1.06,14.82,227.75407059999998,521.1483737,6.8415,45.9,396.28,0.002670738,12.2,15.3,2.8209540466585805,4.74,0.76,0.76,0.48,102.6357114,62.549033823239014,80.40311997517558,0.955,4.4849999999999985,2.144,30.849803634851998,59.0,72.43057997493625,93.766461131648
E06000006,Halton,61.110465657126504,15.62,3.235294118,830.226656390656,57.6158784657715,15.0,173.4419639,65.229185018412,51.460900967849504,37.5,651.3206177000002,34.8943985307622,4.4,28.6,12.14551,60.8917197452229,17.6,0.62,56.0,54.6,19.0,16.4,4.6,0.2,296,54.4,94.0,295.6,9.5,3.5762181493071097,0.7,24.8,3.86,674.5436107,2.93,8.17,7.64,7.82,7.42,2.77,12.98,0.91,15.71,339.9805644,738.4474567999997,8.2718,39.6,356.62,0.00854522,11.8,19.36,3.13491907990125,4.8,0.68,0.68,0.44,79.3839884,58.529795054665136,79.08922136447353,0.73,4.815,2.08,32.361445248404,96.0,68.32239950124608,91.40168427132583
E06000007,Warrington,65.7135003236241,14.01,1.569620253,684.630015165224,46.3509815941747,12.5,182.576091,69.6977745327855,52.484660665767095,37.5,542.4887085,18.8734030197445,3.3,23.7,9.46686,71.0344827586207,18.2,0.46,70.0,68.3,20.6,12.9,3.7,0.2,308,47.0,85.0,231.3,8.5,3.51133869787857,0.8,19.6,3.5,611.4565856,2.77,6.83,7.86,7.99,7.65,2.83,11.53,0.89,12.2,311.4061081000001,776.9203073,7.9613,45.9,266.47,0.009972686,9.8,7.5,1.9074505016594816,6.25,0.77,0.77,0.45,65.89764621,64.44671680082402,80.6627679967955,0.635,4.025,1.7920000000000005,26.200963812364503,63.0,71.81571027126991,92.88650657060758
E06000008,Blackburn with Darwen,66.4467770222083,13.16,4.717498629,659.224502538848,35.521824262272396,16.7,146.1909565,60.0931998391951,58.4546418623035,37.5,581.8733521,17.5972927241963,3.1,39.4,11.43988,65.625,12.8,0.46,60.0,64.3,31.3,30.5,5.8,0.4,285,48.0,96.0,347.5,12.3,4.30004777830865,0.68,22.1,3.72,619.6570271,2.27,8.54,7.78,7.89,7.67,2.72,12.12,1.3,17.7,229.75299669999998,476.1489474,7.4365,34.5,717.52,0.003468416,16.5,8.27,1.3443389885193449,4.41,0.51,0.51,0.38,88.16175087,57.949047535826644,78.34743567337941,0.6799999999999999,4.68,1.6980000000000002,29.548607424553506,77.0,63.99552780156168,86.33309535775429
E06000009,Blackpool,63.52414827033201,17.78,5.29986053,1096.52359856933,67.32912332838039,22.3,329.2836257,60.4119728108057,51.869220399132786,37.5,1158.518433,32.8888888888889,3.5,19.3,12.175999999999998,66.68614845119811,19.3,0.5,62.0,46.9,31.0,21.8,5.9,0.7,317,48.2,184.0,407.8,14.0,6.389776357827481,1.05,28.9,7.3,717.7746715,3.18,7.99,7.46,7.73,7.3,3.0,15.88,1.58,17.94,466.51286510000006,1009.634355,6.7578,42.7,983.15,0.011207014,17.5,22.08,9.294344748695217,5.01,0.47,0.47,0.45,144.41981840000003,56.26748695216988,76.93046114248945,0.8400000000000001,5.3450000000000015,2.366,29.972765756165,162.0,61.717919120399024,90.1128665580502
E06000010,"Kingston upon Hull, City of",70.04098293076571,14.36,2.752,878.862116771123,47.0305281706911,23.1,137.5602124,61.8536878846347,47.1153090345216,38.3,907.380249,32.7203893996755,5.0,32.6,13.37369,65.0683022023975,20.9,0.58,63.0,49.1,29.2,25.8,7.2,0.9,300,49.7,124.0,361.8,14.1,4.73529690311582,0.72,21.9,3.55,796.7101169,2.42,7.19,7.64,7.8,7.59,2.89,9.22,0.92,16.68,270.84940819999997,423.1681828,8.9699,49.0,823.41,0.013308894,12.0,43.2,10.74142699857676,4.74,0.48,0.48,0.4,122.2105857,56.64796776037411,77.88374208299288,0.5700000000000001,4.37,1.618,32.0406932545825,91.0,68.59046006511095,89.64468641299256
E06000011,East Riding of Yorkshire,67.3566986681193,17.6,2.070003764,621.213498210457,31.8918229365991,10.8,75.78800677,68.88617534403029,53.5086816379564,37.5,453.03503420000004,13.518588058580502,2.0,23.3,10.39348,71.3055181695828,22.6,0.46,61.0,66.4,28.2,12.8,3.6,0.3,471,48.5,46.0,205.8,9.1,2.53748558246828,1.0,20.0,5.13,578.7377411,3.99,7.63,7.88,7.94,7.66,2.7,8.48,0.69,12.92,160.68513190000004,343.2042545,7.7998,49.8,304.77,0.000957611,8.5,1.26,2.9580460331123675,6.46,1.15,1.15,0.6,50.23945383,63.39451844489604,81.83288933062377,0.725,4.545,2.3000000000000003,25.090873893078502,47.0,75.64875229490012,93.46608806215625
E06000012,North East Lincolnshire,72.4982835144627,16.16,1.938711695,649.702289709962,34.0222019169081,20.0,136.8650304,64.7027205025056,57.52912999426521,39.0,633.0139771,33.1642606320718,5.9,22.5,11.28993,70.84796788760659,16.8,0.59,59.0,57.9,37.6,20.1,5.6,0.8,319,41.4,87.0,292.2,11.0,4.30879712746858,0.91,23.3,5.92,596.3392434,3.08,7.6,7.74,8.01,7.49,3.02,9.12,0.86,12.8,179.19927280000005,325.9413795,8.3231,42.0,602.94,0.00373434,11.5,10.55,13.764969404227095,5.19,0.64,0.64,0.43,103.1496753,60.24710935642511,79.7481773929148,0.6799999999999999,4.4350000000000005,1.9980000000000004,30.787351553933,41.0,71.306,94.88584822516934
E06000013,North Lincolnshire,69.98312285683001,16.88,2.7605245,632.122701906773,37.602466721817,20.8,82.91746529,59.9117633882264,59.8514140026764,39.4,604.2296142999999,20.129403306973398,2.9,24.8,9.89509,72.1474838066766,18.7,0.46,59.0,63.9,30.3,16.6,5.0,0.5,417,54.1,64.0,246.0,8.0,3.76506024096386,0.83,22.1,4.73,555.7016115,3.05,7.92,7.77,7.89,7.56,2.94,11.65,0.73,14.32,127.6707761,236.77883030000004,7.9973,40.1,355.35,0.0013666529999999998,9.1,9.33,8.173082536457786,5.25,1.03,1.03,0.53,73.6920149,60.80349807932561,80.81574135696522,0.525,4.2,1.9839999999999995,29.4744481690565,42.0,72.45868473589721,91.47624868837164
E06000014,York,60.4415454951345,12.17,2.417962003,723.971279187567,41.8813846349946,9.0,85.41708458,72.0255670699744,57.3217064855056,37.5,777.350708,15.5684286748733,2.6,65.2,9.83501,74.3027888446215,22.7,0.29,61.0,68.5,21.7,9.7,3.2,0.1,192,44.5,56.0,212.9,13.4,3.43819838404676,0.74,18.6,3.12,546.3239022000001,2.84,4.96,7.74,7.74,7.41,3.19,9.42,0.84,11.44,207.9050353,539.9250212000002,7.7239,60.4,455.62,0.0034220999999999995,8.9,6.91,13.931390304713132,9.09,0.62,0.62,0.42,51.82957586,64.99374384496764,81.88440885267795,0.7250000000000001,3.65,1.6840000000000002,24.938745178526503,41.0,71.73667061279106,91.13267883135487
E06000015,Derby,65.09059305924029,13.1,3.2798325189999997,810.606117404427,,18.9,91.21826848,62.55775544870401,57.6516383201798,37.5,759.7767944,22.2854433380749,5.3,31.1,13.60261,68.00799086757989,22.3,0.82,55.0,57.5,20.5,21.5,4.7,0.3,200,48.6,75.0,260.2,7.3,6.18222357352792,0.81,23.0,5.29,526.1765495,2.27,7.29,7.63,7.89,7.4,2.89,9.86,0.92,16.69,259.2416532,423.4408823,10.4569,40.2,411.09,0.014246725,10.8,6.53,14.39498276492604,5.59,0.55,0.55,0.44,71.42634827,60.44774348918821,80.61895469081911,0.665,3.92,1.588,30.108716926813504,56.0,70.94122190413088,86.97081392424509
