Area code,Area name,ow_obs,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,activity,eating,Li.2.6.c,sti_screen,teen_preg,in_eet,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,diff_adls,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,pub_greenspace,priv_greenspace,Pl.1.3.a,env_noise,road_safety,road_traff,Pl.2.2.a,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E06000001,Hartlepool,70.44500085917942,17.08,4.648648648648651,1020.75,41.64,18.6,107.64,59.06190458282271,50.620296350181796,37.5,573.3453979,38.025350233489,2.8,31.8,14.80276,69.3877551020408,13.4,0.69,67.0,60.3,34.2,21.4,9.0,0.7,270,52.8,138.65,312.8,11.6,3.561022985,0.94,24.7,43.18,4.91,614.05,3.09,7.08,7.56,7.84,7.39,2.74,11.84,0.97,14.99,264.17,441.05,7.3237,637.0132195,94.1,36.3,5.13716994487463,180.57,0.004616966,10.1,6.49,3.217434203470539,3.98,0.86,0.86,0.4,113.7041248,57.69058793247678,79.1029428798181,0.7350000000000001,5.1,2.1180000000000003,34.81374807987715,106.0,68.73760534140345,89.51404934698157
E06000002,Middlesbrough,64.92679320804089,13.33,3.48288075560803,964.21,41.2,17.4,169.88,57.9334767601479,53.463470861735104,37.5,632.6721191,39.3559928443649,4.1,35.6,15.51724,63.8613861386139,12.3,0.7,64.0,59.2,26.8,30.0,7.4,1.2,197,50.0,137.36,379.7,15.6,4.1994750660000015,0.79,24.1,38.08,3.37,771.68,2.33,7.3,7.61,7.92,7.43,2.75,9.76,0.97,17.73,391.33,651.98,8.0331,721.2491235,94.6,37.6,6.45838744833997,266.14,0.015339576,11.9,15.28,7.826674730513357,4.44,0.63,0.63,0.47,141.6414671,58.15416628126223,77.67797360276069,0.75,4.43,1.814,33.48930646522326,121.0,66.32223998062321,87.09477373685438
E06000003,Redcar and Cleveland,72.5069765528323,17.0,3.24939073923639,806.47,54.55,13.5,129.47,64.31142467267921,51.937979157924396,37.5,500.55484010000004,34.5655304848776,4.3,28.3,13.53662,71.44615384615379,17.9,0.67,71.0,61.1,29.1,18.7,5.3,0.9,450,52.6,103.2,288.0,10.8,3.305785124,0.97,26.5,38.54,3.47,592.9,3.53,8.19,7.71,7.85,7.59,2.61,13.24,1.06,17.51,286.55,547.19,7.3889999999999985,743.7696675,94.7,41.8,5.3760294913617805,198.5,0.002592768,10.3,5.35,0.7314325838587458,5.0,0.71,0.71,0.48,83.931889,60.44573867376644,79.95397679895845,0.62,5.13,2.2500000000000004,32.511355430021496,91.0,72.43323076969979,91.39256916144943
E06000004,Stockton-on-Tees,68.00095049110821,15.08,3.86826973340303,940.14,46.23,16.4,115.07,61.8602812555862,49.8994847214597,37.5,486.56719969999995,26.75159235668789,4.2,30.2,12.04075,70.46736502820309,16.8,0.49,71.0,66.8,24.7,16.8,5.7,0.8,341,51.3,108.21,275.7,9.2,3.509307293,0.99,25.2,38.72,3.91,598.62,2.93,6.92,7.68,7.82,7.6,2.39,14.71,0.82,15.3,280.98,467.02,7.6095,799.7352712,94.4,43.3,13.4801455374879,187.18,0.004795995999999999,9.0,22.74,1.5211978926338527,5.29,0.76,0.76,0.47,90.48085065,58.51302652462058,79.77149376562397,0.74,4.6850000000000005,2.014,30.287292709552002,92.0,71.147343984542,93.16531918318763
E06000005,Darlington,68.3258078256832,15.95,2.84872298624754,639.38,51.84,13.8,139.73,61.1454849509887,53.8278265623948,37.5,839.3812256000001,19.457547169811303,3.8,25.0,13.25309,72.6332537788385,21.1,0.66,65.0,65.3,23.4,17.9,4.7,0.9,259,46.3,95.21,253.9,13.1,3.526300323,1.0,23.3,35.8,4.33,648.65,3.21,7.7,7.73,7.93,7.58,2.98,12.85,1.08,15.56,220.82,546.43,7.1363,943.1271114,94.8,50.7,5.7804553046938,357.1,0.00276526,9.0,15.03,2.8151568042339963,4.73,0.76,0.76,0.48,96.64433309,61.83839873880974,80.59735844453203,0.95,4.53,2.16,28.725888815829396,72.0,72.21544564887766,91.61771414170799
E06000006,Halton,74.41198388664709,15.8,2.4653312788906003,862.71,58.56,17.9,140.73,62.8456931008502,45.9381090053744,37.5,744.4598388999997,36.6300366300366,4.8,30.1,13.36917,64.5304568527919,17.7,0.62,63.0,57.7,22.5,16.1,4.5,0.2,363,54.4,92.23,299.9,11.4,3.40367597,0.74,23.9,36.88,3.93,655.34,3.23,8.31,7.62,7.87,7.49,2.6,14.57,0.91,16.82,349.73,806.11,8.6189,509.8557638,94.3,40.8,4.49653743033484,261.39,0.009384656,10.9,,3.893110751214651,4.42,0.67,0.67,0.44,87.42369503,58.47559798181139,79.1488040363772,0.77,4.905,2.148,32.26882779799095,91.0,68.70040807409254,90.64560866325243
E06000007,Warrington,66.9267610835298,14.1,2.48262164846077,733.12,48.59,10.5,176.18,59.6217499433754,50.697398397497,37.5,567.2354126,19.4518125552608,2.7,34.6,10.32983,72.82780410742501,19.3,0.62,71.0,67.0,20.0,13.0,4.0,0.1,284,47.0,89.82,224.4,7.2,3.628666465,0.86,17.5,32.72,3.42,659.77,3.01,6.87,7.76,7.93,7.69,2.69,12.42,0.91,12.04,302.69,712.43,8.2857,508.036505,92.6,42.5,4.21862398411812,240.01,0.01010307,9.1,15.22,10.021618061819067,5.81,0.78,0.78,0.45,70.70967372,64.34761318463161,80.96193407684194,0.7,4.065,1.8459999999999999,29.3448493565899,68.0,71.7538740499293,93.06680814720428
E06000008,Blackburn with Darwen,61.947263537930795,13.39,4.29414922168545,675.08,38.92,16.2,119.36,57.5230629548767,43.125462352120714,38.0,536.9325562000001,21.7245989304813,3.3,41.3,11.94186,67.43436204514049,11.3,0.49,66.0,63.8,29.8,31.4,5.2,0.5,270,48.0,97.52,331.6,9.8,4.679683718,0.67,21.4,37.96,3.78,644.85,2.49,8.82,7.8,7.95,7.67,2.55,14.02,1.31,17.69,247.92,417.99,7.8752,737.4578647999997,94.6,36.0,3.86614747890859,712.23,0.003668382,14.6,21.43,10.071034362369245,4.35,0.52,0.52,0.38,105.3094493,58.70017993581394,78.59694109116299,0.8300000000000001,4.84,1.7100000000000002,29.12606576053161,105.0,64.84547986912658,88.40062027491716
E06000009,Blackpool,66.50808553964539,17.86,2.95983086680761,1015.11,52.13,21.1,236.61,54.35495466893,49.2209366866253,37.6,1254.673218,36.933146330060794,3.9,25.9,12.47746,67.8722121760097,21.8,0.52,62.0,46.9,30.6,22.4,5.7,0.7,274,48.2,185.33,401.8,13.7,6.048387097000001,1.08,33.7,39.87,7.1,722.37,3.48,8.12,7.55,7.8,7.44,3.05,17.23,1.61,18.91,378.84,906.13,7.195,708.8525777000001,91.1,38.1,3.84253630457377,864.5,0.011450683,15.2,17.44,8.614191881124151,4.92,0.47,0.47,0.45,170.9629949,55.21676249955134,77.0220559204623,0.915,5.505,2.434,32.4697723525498,110.0,64.54513089760182,90.06423630164049
E06000010,"Kingston upon Hull, City of",71.52644502929859,14.2,3.38245144005358,907.02,61.95,26.1,133.08,58.5156071222714,42.8284872921596,38.2,874.3835449,29.8306906745499,5.5,30.0,12.75176,65.93695271453589,18.4,0.6,67.0,56.1,28.7,26.4,5.8,1.0,260,49.7,133.38,352.0,14.1,4.571984436,0.75,27.1,37.37,3.44,722.81,2.61,7.35,7.62,7.86,7.35,2.86,10.69,1.02,16.99,255.51,368.78,9.7553,830.8928822,91.3,43.3,10.3589173013102,826.71,0.013831369,10.6,21.17,9.975253697557982,4.73,0.48,0.48,0.4,143.02979150000004,56.90231694450307,78.0837813884786,0.62,4.415,1.656,33.2802190488867,103.0,68.26537645618197,90.29717254072551
E06000011,East Riding of Yorkshire,58.0452393315559,17.77,1.5974440894568702,640.88,31.86,12.8,78.3,62.64948123714021,55.9939959988587,37.5,452.1627808,14.6443514644351,2.4,20.6,10.63267,73.5946958777746,20.1,0.47,64.0,68.9,29.7,13.6,3.4,0.3,483,48.5,49.81,200.6,11.4,2.0,1.04,21.9,32.98,5.35,486.75,4.34,7.76,7.94,8.12,7.65,2.69,9.32,0.72,13.22,154.41,303.53,8.335,1727.93989,92.3,46.0,4.76506772476311,288.81,0.000984632,9.4,3.78,2.355615492883097,6.43,1.16,1.16,0.61,54.99773272,64.90922223465464,81.98412226822217,0.8200000000000001,4.66,2.386,22.3621697144983,38.0,75.17550991141992,93.68136552878813
