Area code,Area name,ow_obs,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,activity,eating,Li.2.6.c,sti_screen,teen_preg,in_eet,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,Pl.1.3.a,road_safety,road_traff,Pl.2.2.a,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac,trans_noise
E06000011,East Riding of Yorkshire,68.41424819,17.4,1.9318181818181799,638.321200025926,28.620492272467107,12.2,68.91536967,68.7721311827317,61.6177036900245,37.5,475.17590329999996,14.4,2.2,20.7,9.14708,69.53058321479371,20.2,0.47,53.0,66.9,33.1,12.5,3.8,0.4,447,50.0,41.455403600000004,210.6,9.2,2.392344498,0.99,19.3,5.22,607.064812,3.79,7.52,7.93,8.14,7.73,2.76,7.75,0.67,12.7,152.89960459999998,330.94354389999995,8.2897,47.7,341.74,0.000941624,9.7,1.24,3.848385454287101,6.47,1.15,1.15,0.6,43.17000391,63.68280304555304,81.83186581568009,0.615,4.495,2.258,28.21511319449575,41.0,75.43308095184136,93.66280695460249,2.41492799771874
E06000012,North East Lincolnshire,64.72504752,16.0,2.9951100244498803,672.9446351555159,34.0470238037335,19.9,153.0197257,60.536031872264786,56.150581163626214,39.1,641.0256347999998,33.1,5.4,15.2,11.29189,70.57344064386321,17.5,0.58,51.0,54.8,35.5,20.6,6.3,0.8,372,47.5,86.24722249999998,283.9,9.9,2.971508478,0.88,20.3,5.93,664.2473295,2.85,7.36,7.6,7.9,7.51,2.73,8.36,0.83,11.4,199.8868106,405.6757,9.0691,42.3,562.13,0.003708763,12.9,10.86,8.133743774557649,4.76,0.64,0.64,0.43,95.13351853,58.67861701328928,80.19365693120105,0.625,4.37,1.9680000000000004,32.385514547718806,41.0,72.28126997316886,95.03062666578943,4.3304004759370045
E06000013,North Lincolnshire,66.87550025,16.91,2.30263157894737,660.88977150984,40.5966767371601,18.5,95.1751493,66.9173529968556,54.018527794185715,39.9,659.3179321,18.8,3.5,16.3,9.42736,73.90206966178701,22.0,0.44,48.0,63.8,28.7,17.5,5.4,0.6,409,51.4,56.6893424,253.8,7.5,3.718163227,0.78,21.9,4.72,615.3674975,2.87,7.81,7.8,7.93,7.54,2.81,10.62,0.71,14.4,156.59329590000004,288.9287685,8.7495,40.7,359.91,0.00135262,11.1,10.95,6.440017095318107,5.09,1.03,1.03,0.53,65.2783551,61.21598646425498,80.7664305327065,0.49,4.175,1.952,29.904375687953944,35.0,72.90749241318937,90.44574885682371,1.8779840224180704
E06000014,York,59.44664216,12.25,2.58953168044077,690.942293955321,44.5880158332954,12.6,98.0931697,66.7107952170147,62.7348493260201,37.5,684.729126,14.8,2.9,51.2,9.09704,74.07407407407409,25.9,0.29,52.0,68.2,23.8,10.2,3.2,0.1,179,49.5,51.7725279,205.0,12.8,2.510460251,0.72,17.6,3.27,577.3734498,2.72,4.94,7.77,7.84,7.58,3.0,8.75,0.82,11.3,231.7833108,633.5155831000002,7.99,57.8,542.56,0.00326007,10.5,8.83,8.699014111734003,8.95,0.62,0.62,0.42,48.72897738,66.04694954571815,81.98152136091242,0.62,3.625,1.672,25.175789050256142,44.0,71.35754885034679,91.33837455108292,4.767496931210795
E06000015,Derby,64.06917173,13.1,2.8956228956229,889.948808081007,,17.8,94.89575046,69.67195927547651,52.3222836025074,37.5,722.1445312999997,26.0,4.6,26.1,12.81084,66.408345752608,20.8,0.8,48.0,53.7,23.6,23.2,4.5,0.2,195,48.1,76.4629919,271.9,9.8,5.983325159,0.82,22.6,5.2,556.7980179,2.13,7.29,7.47,7.9,7.42,2.9,8.87,0.91,16.6,249.706149,430.6980247,11.4899,40.9,494.76,0.01390963,13.2,6.5,8.196625332256062,5.55,0.55,0.55,0.44,72.70796985,59.243056092239364,80.4683809323076,0.615,3.86,1.5739999999999998,29.196247717498704,52.66257710256362,71.2815374624524,89.4468018659175,5.63399109098129
E06000016,Leicester,60.1667113,12.15,5.2187093980078,731.8224749750218,19.501493083064197,17.0,73.03340673,57.855495016917494,52.0235751902291,37.5,635.3149414,24.0,4.4,45.8,12.00103,60.672514619883,13.4,0.57,51.0,56.5,27.0,29.1,6.1,0.3,200,35.9,78.7892114,300.3,9.4,5.138086063,0.65,23.0,2.79,853.3100549000003,1.4,9.08,7.51,7.68,7.56,3.14,8.93,1.06,15.4,195.5182384,310.83646539999995,11.4469,40.4,926.22,0.012439148,15.2,26.32,10.300046064094898,6.84,0.5,0.5,0.46,84.17140421,59.84897557458521,79.45419083124233,0.55,3.18,1.148,28.88459036223145,46.0,64.658867834602,89.42682484592605,6.047404649425608
E06000017,Rutland,57.96583274,16.76,2.6666666666666696,440.233274520578,,12.3,67.59218349,69.80101790402449,63.8326562903263,37.5,559.5828857000001,4.7,0.3,29.5,5.13278,72.1153846153846,25.2,0.36,53.0,76.1,31.6,8.5,2.4,0.1,259,46.5,51.840331799999994,165.2,4.9,4.916420846,0.97,21.8,5.02,556.6406579,3.62,6.58,7.96,8.06,7.68,2.96,7.88,0.69,14.6,101.0725817,227.8538173,9.8658,44.6,173.81,0.001160237,10.3,29.97,5.134920023620632,8.42,4.11,4.11,0.68,25.85432232,69.43130247246398,83.70886543942079,0.625,4.12,2.1540000000000004,27.1445617705711,34.0,76.98354758381458,92.10891552781915,1.0780395456457716
E06000018,Nottingham,61.35593051,10.49,3.98983481575604,,,21.5,,64.38290920616829,52.015453433513784,37.5,981.2282715,26.9,5.4,55.3,11.61601,63.518987341772096,13.4,0.53,50.0,49.6,24.3,27.8,7.5,1.0,261,43.5,90.2390197,338.0,9.0,5.915778003,0.63,22.6,3.13,,1.72,5.7,7.38,7.6,7.2,3.08,8.59,1.01,15.3,,,11.3533,42.4,926.75,0.01291429,14.6,6.04,10.776558829234649,5.14,0.52,0.52,0.44,89.63325831,56.26403246515324,79.02498560559641,0.48,3.515,1.2360000000000002,31.25036207681894,61.0,68.29606223440578,86.69745437921063,7.724736710130387
E06000019,"Herefordshire, County of",63.15090005,16.14,1.48606811145511,528.708810208843,40.727165019067705,14.0,77.59688686,65.3520955048946,64.7858087687178,38.6,522.9816284,14.5,3.4,18.0,9.38869,71.740233384069,15.1,0.52,52.0,61.5,29.9,13.0,3.8,0.1,280,52.5,79.01960240000002,203.6,10.935240256766633,5.355776588,0.94,16.6,4.75,541.0966467000002,3.36,6.83,7.73,7.93,7.61,2.73,8.11,0.84,17.9,145.42647769999996,366.3323331,8.8065,47.8,314.82,0.0005610540000000001,13.5,7.45,11.079923179199293,8.22,4.56,4.56,0.83,47.83888736,66.94582603465378,81.86623208745752,0.7849999999999999,4.2349999999999985,2.01,28.0146957835462,24.0,72.53340364512336,92.13480189807423,3.645620207152005
E06000020,Telford and Wrekin,67.00904364,13.78,3.17047817047817,671.022180236857,25.4831174346995,15.6,42.55673636,63.649321476800395,57.2674770904826,37.5,525.5806274,19.5,6.3,41.8,10.56789,69.1195236069757,21.8,0.42,56.0,58.2,26.8,15.0,4.6,0.2,306,46.1,76.6655593,249.5,9.865017745838244,5.325157334,0.62,21.5,4.15,719.0238055,2.46,7.23,7.68,7.85,7.6,2.81,12.35,0.86,18.6,173.1795073,378.0854381,8.7271,39.4,275.28,0.003140762,12.1,2.71,5.180541884681138,6.21,0.84,0.84,0.52,77.04041398,61.196349444818594,80.5115600914078,0.525,4.085,1.592,31.4839799848052,19.0,71.29890560349179,92.3949099064575,1.9904830940466751
