Area code,Area name,ow_obs,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,activity,eating,Li.2.6.c,sti_screen,teen_preg,in_eet,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,Pl.1.3.a,road_safety,road_traff,Pl.2.2.a,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac,trans_noise
E06000038,Reading,55.33881143,11.16,2.88858321870702,601.62370105146,22.9635889333872,15.8,65.82330179,64.7564600864489,52.9432258815109,37.5,944.5493163999997,19.7,3.9,34.9,10.69746,70.9661598822952,13.9,0.4,56.0,63.6,17.5,12.5,4.5,0.3,137,45.2,60.384816,262.0,9.947646247051916,3.170828379,0.53,16.3,3.14,507.7311474,1.81,4.95,7.66,7.86,7.45,3.04,7.56,0.85,13.1,256.91691000000003,551.1921434,11.7109,51.9,866.96,0.008679947,11.9,3.99,13.521736190926914,10.42,0.56,0.56,0.37,82.51332198,65.8612245775994,81.03069372652905,0.5,3.225,0.986,29.59325499089445,47.0,67.72728057848106,88.77535152432573,9.732683868811456
E06000039,Slough,65.56999477,12.01,3.40811044003451,589.0685887328799,16.4180697275421,18.0,53.16185836,59.6054999898483,48.451462282773505,39.0,716.2133179,12.2,2.8,28.1,8.9913,69.1446842525979,25.9,0.36,55.0,72.1,16.9,16.0,4.9,0.2,207,41.7,46.8430266,292.3,9.62002292939444,4.2258932,0.36,18.1,2.76,534.4350003000002,1.27,8.92,7.54,7.84,7.59,3.07,6.39,0.94,14.6,145.60833630000005,296.6046897,11.9032,40.5,752.66,0.016984463,11.0,1.75,16.922077218822764,10.43,0.5,0.5,0.39,77.95662533,59.50064168516814,80.38524124113283,0.54,3.125,1.122,30.93186863523696,27.0,63.885960909944885,86.14667726343338,12.575787746245814
E06000040,Windsor and Maidenhead,52.20308457,11.62,2.79898218829517,447.300336117189,16.7583446698606,12.2,96.83469888,69.6363676934997,64.6759068270742,37.5,587.2171631,8.5,4.4,37.4,8.80917,74.18431597023469,19.3,0.21,59.0,72.2,15.1,7.4,3.4,0.1,153,48.7,26.669827500000004,174.9,9.166591856561807,3.7653587,0.81,11.4,3.49,569.0283562000002,2.71,5.15,7.75,7.88,7.65,2.95,7.09,0.7,15.1,147.535379,374.0568038,10.9552,54.4,293.68,0.006099658000000001,8.1,34.06,5.344414085203321,13.12,0.69,0.69,0.43,50.04375739,70.20398826901108,83.10997067252771,0.475,3.13,1.4,21.835946514098353,27.0,71.73324576293727,89.24975444415573,8.938781862595821
E06000041,Wokingham,53.01691368,12.32,1.27713920817369,411.650571794908,21.3544030109708,8.8,54.91934102,69.5005386138223,60.0901254339007,37.5,485.30917360000007,8.1,2.1,41.7,8.29991,75.0112968820605,16.6,0.36,61.0,72.8,16.5,5.9,3.1,0.1,200,48.6,21.452322199999998,161.4,7.288538411263253,3.698908822,0.75,15.0,3.81,467.5171371,2.69,4.8,7.93,7.98,7.66,2.87,7.91,0.56,12.5,169.95726530000005,487.6111319,11.1691,45.6,224.35,0.006126761,7.1,0.88,6.744866237039126,12.44,1.01,1.01,0.5,32.49799187,70.4096445455493,83.37411136387327,0.6699999999999999,3.69,1.276,23.4535479728955,26.0,75.68767643366938,92.23898728830773,8.705188840907514
E06000042,Milton Keynes,62.14526868,12.3,2.76538804638715,642.994921832355,24.1289693411283,14.5,98.41333654,66.8458382215515,52.9627263201519,37.5,661.6148071,19.1,4.1,30.4,10.44949,71.5844284651624,15.9,0.35,56.0,59.6,13.0,14.5,4.3,0.3,250,43.9,51.4193246,235.0,7.065200970948496,4.37578139,0.52,17.0,2.54,663.5302576,2.1,5.93,7.68,7.86,7.67,2.56,8.7,0.66,13.6,140.4295292,303.3036869,10.9446,49.8,359.66,0.005414411,7.5,3.77,14.27283653846154,8.89,0.81,0.81,0.45,67.28515625,66.25047325721154,81.01798377403846,0.41,3.545,1.124,28.439314354702848,28.0,70.70648094787177,92.1694906782984,2.4901748851349548
E06000043,Brighton and Hove,50.3374074,9.63,2.54559270516717,608.922385660225,54.81740583152778,19.9,81.85229763,75.5318405649726,66.6147011490767,37.5,1374.950806,17.9,3.0,47.9,11.2219,66.2337662337662,25.1,0.48,58.0,65.0,17.3,11.9,5.5,0.2,161,43.0,84.879705,239.9,14.431244726965287,3.868471954,0.55,22.6,3.23,655.0261088,2.05,4.18,7.57,7.75,7.37,3.35,9.97,1.21,18.3,314.0415473000001,549.4235818,11.437999999999999,61.5,865.7,0.010869686000000002,11.4,16.95,50.14398985977094,11.17,0.43,0.43,0.38,75.71046025,61.898521796965596,81.44039168027635,0.38,3.5,1.1340000000000001,22.969239902784746,37.0,67.6726870929233,86.61983035618826,8.0509796088573
E06000044,Portsmouth,65.27658953,11.61,2.35492010092515,604.078704410411,46.533981249094104,20.1,93.09245393,66.50329852488261,53.8370317627721,37.5,831.7333984,26.4,4.0,49.2,12.81895,69.5778145695364,22.7,0.41,48.0,57.8,22.2,17.1,5.6,0.3,178,45.6,73.1161175,288.2,13.38052025015407,2.7627778480000003,0.68,19.8,3.01,525.3760693,2.15,5.79,7.74,7.82,7.68,2.73,8.85,0.9,14.4,316.4414038,547.7069743,13.1098,53.4,682.34,0.020354948,12.3,6.58,17.343614503011693,7.82,0.44,0.44,0.38,104.1413739,61.15268099467973,80.0606787446973,0.545,4.14,1.406,29.439866628404303,43.0,67.47245066638267,93.3872676733934,11.82644479891271
E06000045,Southampton,60.773309499999996,10.56,2.87241148964596,805.400620820403,50.903019567120715,17.8,101.7369292,66.4664993522995,56.0154283150611,37.5,1061.896118,31.7,4.4,51.6,10.80482,69.7871008140263,21.0,0.45,54.0,56.3,18.2,17.0,5.8,0.2,182,40.8,120.035807,274.8,14.393420846987615,3.875573687,0.57,20.5,2.93,613.1941554,1.85,5.54,7.6,7.7,7.39,2.82,8.98,1.09,19.4,354.59310289999996,627.5348422000002,12.0532,52.0,743.13,0.014342346,11.6,8.93,9.18614728988685,7.97,0.56,0.56,0.39,105.98018190000002,62.48766579997364,80.60580244990555,0.48,3.945,1.256,29.444451477238413,65.0,66.08499764609964,92.29447633359234,8.972202194985199
E06000046,Isle of Wight,69.17632488,17.69,2.1297192642788003,495.408454685921,66.9924337957125,15.3,68.93259777,67.90791131999761,64.3499786437669,37.5,516.7359008999998,24.2,1.9,17.3,11.72632,71.8140929535232,24.2,0.67,49.0,51.6,28.2,16.5,5.3,0.4,225,51.5,80.9828553,215.7,13.289378782254207,3.462972829,1.3,25.2,4.21,556.1719431,3.49,7.01,7.74,7.99,7.7,2.79,8.17,1.18,17.0,172.3843011,395.9376982,10.1055,49.8,784.07,0.001103747,11.3,4.74,11.407060970740886,8.37,0.96,0.96,0.54,57.97638738,63.2240917127702,81.7992785033936,0.75,4.57,2.14,27.3333058562158,39.0,71.83790945923805,86.70865401243599,4.4049346879535545
E06000047,County Durham,67.52235574,16.51,3.0240265120132594,754.9423080873489,56.1851917111882,17.9,92.13240284,63.74735674161101,59.7370293614387,37.5,573.9484863,21.6,4.5,29.7,10.99053,69.0377293181031,16.9,0.62,59.0,62.0,26.4,17.8,5.8,0.5,342,49.2,67.83583730000001,275.0,12.6,4.556803995,0.92,22.8,4.42,621.7418705,2.84,7.56,7.65,7.88,7.53,2.62,10.6,0.93,14.4,204.4464447,401.039286,6.3417,41.2,306.17,0.001181171,14.0,5.85,2.299837478151544,3.79,1.03,1.03,0.49,61.84262979,58.99829160405999,79.67818853301033,0.6699999999999999,4.795,2.228,30.672014132215747,49.0,73.42020001930872,96.35505330014094,3.4351233180404597
E06000049,Cheshire East,58.34969877,15.62,2.37414187643021,633.218451883905,40.7884586396162,13.3,117.7437278,69.6262896564115,55.772718587974396,37.5,448.7124023,15.5,2.1,18.0,8.960989999999997,71.34896679823541,15.2,0.35,52.0,67.0,20.7,10.1,3.6,0.2,299,48.9,51.3436021,210.3,10.5,3.853227078,0.99,19.2,4.92,574.6503544,3.16,6.45,7.56,7.87,7.41,3.0,9.43,0.86,9.3,206.38128700000001,519.1388028,8.3912,38.1,286.35,0.002536066,10.8,5.27,1.0601558959244957,7.08,0.96,0.96,0.55,43.91165721,65.61990177655622,82.03383302014561,0.7250000000000001,3.91,1.982,24.278438230653702,34.0,72.93721330175939,93.2528022634582,5.52715084632416
E06000050,Cheshire West and Chester,59.01304689,15.0,2.25678560536749,631.671466852412,34.1730866840547,11.7,84.87006398,66.642079185853,55.9313082357683,37.5,461.45559689999993,18.7,2.4,31.1,10.23776,70.93373493975899,17.1,0.46,53.0,65.1,24.2,11.1,4.0,0.2,224,46.8,70.2098747,229.9,9.9,3.661971831,0.83,15.5,4.09,545.2004916,3.13,6.68,7.84,7.92,7.59,2.3,9.01,0.88,14.1,232.5132035,497.26091860000014,8.1694,46.5,300.09,0.002809967,11.3,15.64,2.0850460497313272,6.87,0.8,0.8,0.53,50.48492214,65.79002990551764,81.28863411611918,0.85,4.255,1.942,27.030306356377203,50.0,73.18711767966771,94.84404493591768,6.1526160222566295
E06000051,Shropshire,58.95779346,16.19,2.13156927600147,653.733324199652,26.8770542748515,17.2,60.88791247,70.9364755353827,64.98856968213221,38.5,358.66806030000015,15.2,2.8,25.4,8.77997,69.6151249155976,21.5,0.52,51.0,62.5,31.5,12.7,3.4,0.2,292,48.6,47.226298299999996,199.5,7.731346226139504,3.14795383,1.1,18.8,5.6,549.6516701,3.39,6.78,7.77,8.03,7.66,2.87,9.85,0.78,13.8,142.26959399999996,316.4010422,8.0081,44.7,306.88,0.000644113,13.1,3.67,4.134965266291763,7.79,1.74,1.74,0.83,43.10542253,66.45709369195147,82.1108094353546,0.7250000000000001,4.255,2.108,25.9617059862362,28.0,74.6344796332738,92.50736711615644,2.158086239952215
E06000052,Cornwall,59.48577227,15.57,2.65753976243205,736.081869611084,40.2866647992119,15.7,102.3246983,70.7504559043017,61.5439819429986,38.7,616.413147,16.1,3.2,24.1,11.04867,67.2493403693931,19.0,0.55,51.0,63.8,33.1,15.0,4.1,0.2,247,42.4,40.7776197,213.7,16.121985874260822,3.957702059,0.88,21.9,5.22,556.5489867,3.21,6.5,7.82,7.88,7.59,2.63,8.88,0.83,13.5,240.50988900000002,495.9014824,7.4456,49.4,370.2,0.00091642,12.8,5.41,17.83600603181295,8.62,1.49,1.49,0.6,37.64298081,63.273938352277355,81.5550190340812,0.6799999999999999,4.3599999999999985,2.1860000000000004,29.431266963325896,52.0,73.15340276316492,89.64636456713903,3.11158583518785
E06000054,Wiltshire,63.76337298,15.31,2.40221088435374,557.2106139012831,41.1564647553902,13.9,107.73906940000002,74.23523962880529,62.2893657739755,37.5,490.6508789,12.9,2.7,33.9,10.26504,70.8261020479,24.5,0.45,54.0,66.0,23.9,8.4,3.4,0.1,264,48.0,39.8862042,184.5,8.89635197107536,2.846238437,0.94,18.9,4.28,565.776642,3.33,6.4,7.77,8.02,7.61,2.76,8.31,0.78,15.2,238.5810074,605.2579509999998,9.627,46.0,290.45,0.001161294,9.0,3.86,3.656752803510483,8.98,1.58,1.58,0.59,38.76361125,66.06084633512108,82.56769665203966,0.77,4.115,1.858,24.78658171114235,33.0,73.5432424309037,91.631691081881,4.6441348125991295
E06000055,Bedford,56.67875171,14.14,2.7135678391959797,552.751733489415,22.794220788329397,15.1,112.02889,63.801977402556716,58.0287893258984,37.5,658.4907837000002,14.7,4.2,42.6,9.85004,63.5330126803673,18.6,0.47,42.0,58.2,22.2,13.3,4.5,0.6,399,46.9,67.2627997,220.1,9.211871414884351,4.143010588,0.67,16.4,3.66,489.5594164,2.74,6.97,7.65,7.87,7.7,3.18,10.48,1.07,13.4,223.82045490000002,470.408272,10.2743,38.4,461.02,0.001793884,10.1,6.71,34.949707962609736,8.57,0.86,0.86,0.49,60.49853685,64.20300685962064,81.76653772791356,0.6950000000000001,4.14,1.5239999999999998,27.68794656725689,59.0,69.45747138986107,93.1982237544055,6.211815076730652
E06000056,Central Bedfordshire,59.78620812,14.15,2.27729403884796,501.62924036987886,20.13794492272061,10.3,87.09669476,66.5226153808661,54.5891293830767,37.5,476.09634400000004,15.0,2.2,27.1,10.14874,68.494271685761,11.5,0.36,51.0,63.9,28.6,9.0,3.1,0.1,356,43.6,47.807562,187.9,7.29240424668528,2.231689998,0.63,17.9,3.57,537.6895204,2.78,6.1,7.9,7.91,7.74,2.72,9.14,0.68,13.8,146.1480334,402.164339,10.0808,41.9,300.35,0.0028890770000000003,8.0,1.86,6.865873357159119,9.34,1.09,1.09,0.49,46.24346387,65.78327798475776,82.76393501270185,0.515,4.1,1.476,24.513789936891108,30.0,73.30353587431176,93.85884539490456,4.41318187127672
E06000057,Northumberland,61.39677053,17.32,2.22569308863725,833.5538142960901,56.716719639708394,16.9,114.617587,65.5362194329596,57.2670639585502,37.5,461.82836910000003,21.0,3.9,24.9,10.15389,73.3810802745449,13.6,0.63,56.0,61.0,32.1,16.1,5.5,0.6,235,47.8,64.9887747,233.4,10.9,3.331350387,0.99,22.7,5.69,645.5971903,3.36,7.74,7.51,7.67,7.51,2.92,10.11,0.94,15.6,237.26290869999997,489.2465011,5.9573,47.0,349.77,0.000368364,12.8,4.78,0.3150161918322602,5.5,1.29,1.29,0.6,52.40609367,64.07008763750457,80.94017527500914,0.815,4.87,2.37,28.036181465772,38.0,75.36608290758676,89.9266864002733,2.2798256044391603
E06000058,"Bournemouth, Christchurch and Poole",61.32654772834529,13.88,3.40724716062737,745.16,51.3,16.1,124.02,64.5586584308354,62.2266617135987,37.5,758.7179565,19.865200425682897,2.9116617407362138,46.8,10.326265985284405,71.93377338176924,20.0,0.51,52.8660030608438,66.6561578542622,21.70986500308368,10.4,4.2,0.2,227,45.75837612340639,67.22607687722028,219.0,10.495126761639169,2.38114136,1.03,19.1,5.78,685.03,3.28,5.89,7.643371268169003,7.796786291683693,7.6169011621561955,2.824584210005355,9.33,1.05,15.156761712737277,283.13,589.02,10.202699894926258,44.97615232139367,585.5314946087037,0.0033879403986732037,10.748720864127343,5.353536493179743,15.228078546429145,9.12,0.6172756459877821,0.6172756459877821,0.4933357106055953,64.62258430697757,64.76236431147511,81.80608061419831,0.7,4.1,2.014,23.756839225,54.49732366519545,71.99800479341488,91.76425951279076,
E06000059,Dorset,58.62714784139988,17.39,2.43204577968526,529.97,41.92,12.9,89.45,69.2067648325597,64.8017243827069,37.5,814.9042969,11.4905324486163,2.7,32.1,10.97225,70.0534759358289,18.6,0.49,45.0,64.4,25.26240141660059,10.7,3.5,0.1,341,41.3,62.2237202,183.4,9.721198197597307,3.797331019,1.04,23.1,5.76,577.28,4.12,6.65,7.750052024174364,7.958986734103428,7.606385284284519,2.740016662737618,8.9,0.86,16.2,234.07,508.67,9.019837905049183,45.892936553009996,323.85,0.001044776,9.310274766645554,3.6420332046237984,4.286234757077645,9.84,1.5103923780030435,1.5103923780030435,0.6504172381646343,40.00160782,65.9621554938814,82.92289706844487,0.81,4.605,2.414,24.71405596,35.0,75.56288961044609,93.05124762809606,
E06000060,Buckinghamshire,60.15117963,13.45,2.82019040776001,504.12987903528506,24.5863824591355,11.217720839836717,54.19745482,71.3738487718247,58.6741356263196,37.5,544.790344238281,10.4,1.6,28.2,10.93603,70.564086969743,23.4,0.38,57.0,73.6,18.7,9.968250427722415,3.4,0.1,256,45.1,38.129025299999995,161.43327830471844,7.219934030558858,3.510504086,0.8,16.3,3.3,572.4942412,2.88,5.95,7.87,7.99,7.64,2.9,8.68,0.75,11.3,127.01887190000001,330.7103719,10.501,45.7,226.62,0.00272379,8.2,2.1242522726202253,8.25429223196062,11.36,1.122174612048265,1.122174612048265,0.5059307464881738,44.126695881858566,69.7587322907912,83.42910763597071,0.645,3.71,1.366,23.76406427657775,19.0,73.1134338384048,93.68875945019312,7.627354393322065
E08000001,Bolton,63.232512899999996,13.9,2.9351932577739,690.7511925265442,46.8407665768466,17.9,122.5985959,59.422177575857106,51.565392880351716,37.5,562.5870972,19.6,2.7,24.5,10.63155,64.62360122075279,18.0,0.43,56.0,58.5,23.4,25.6,6.0,0.5,243,38.5,84.370386,291.5,10.9,3.256468932,0.8,24.0,5.56,654.2671437000001,2.27,8.09,7.56,7.85,7.33,3.22,9.63,0.95,13.8,224.80671150000003,378.4378319,9.1662,36.6,259.95,0.009961861,12.9,9.43,2.8215112013994696,4.61,0.55,0.55,0.4,78.99878675,60.03829072851418,79.81498786750183,0.51,4.29,1.596,28.448526614478002,49.0,69.4688762049132,94.7432987933626,9.150735111420317
E08000002,Bury,66.15143783,14.43,2.4436990896023,564.603356147212,27.349091619456896,19.1,90.12281974,65.8483107027032,55.8628866743605,37.5,574.2474365,18.6,3.7,35.9,9.31672,68.86715566422171,19.1,0.52,55.0,61.9,29.3,17.5,5.1,0.4,405,45.7,71.5072797,276.0,11.6,4.540939407,0.91,23.3,4.76,594.0667051,2.46,7.34,7.52,7.87,7.39,3.25,6.57,1.01,15.8,188.7133479,444.1264009,8.9614,43.5,165.76,0.011099894,11.6,26.35,1.5914866076401968,5.44,0.71,0.71,0.41,72.23757712,60.335378747287855,79.78636149026806,0.605,4.245,1.6780000000000002,27.800470241113853,35.0,70.3354883706538,86.12717827476483,10.69954030816379
E08000003,Manchester,60.72455302,10.18,3.33757601470796,741.196368745192,44.2902487635639,21.7,98.48588822,62.403014205843704,46.3933731457059,37.5,1354.711548,25.9,3.1,52.4,10.73998,63.68823938761311,18.1,0.46,52.0,54.6,18.0,26.7,7.5,0.4,205,41.6,105.31971100000001,408.6,10.6,6.2601727810000005,0.47,20.8,2.74,619.3392650000002,1.6,6.33,7.45,7.63,7.2,3.37,10.04,1.26,14.9,185.60269,302.1782236,9.5143,43.0,390.89,0.01579433,16.2,7.41,14.409248520742853,6.1,0.47,0.47,0.44,119.386166,54.497516806171596,77.42578886017303,0.5,3.83,1.206,32.52831793657625,53.0,59.03207459711348,85.40802880462091,10.393186427133667
E08000004,Oldham,65.4823801,13.42,3.70242214532872,620.214817277246,39.4682652267423,18.8,103.5012842,63.7482187598361,45.9390998436512,37.5,666.4335327,26.9,5.0,28.6,12.03268,60.515021459227505,13.8,0.56,47.0,56.1,32.1,29.9,6.4,0.4,356,38.9,71.177429,320.5,9.7,6.234288587000001,0.78,21.9,3.61,621.3934753999997,2.33,8.15,7.45,7.79,7.4,2.67,10.35,0.99,13.8,166.0309625,345.5315735,9.1734,38.7,336.1,0.005246351,11.8,21.96,1.291161141214294,4.71,0.61,0.61,0.41,86.21513327,59.86213368682456,78.77831193592398,0.6,4.425,1.594,29.15139945621955,47.0,67.78653262092747,91.17283034294931,6.730669344506385
E08000005,Rochdale,62.34472691,14.2,3.34313005143277,623.108393900273,36.6405820618179,19.4,102.1444521,58.1048278882347,48.556568428007495,37.5,587.442749,21.2,3.9,26.2,10.57998,63.299663299663294,13.6,0.61,51.0,58.5,32.0,24.3,7.2,0.4,427,49.1,95.3691869,333.5,10.8,4.199772985,0.66,25.7,4.32,656.3759977000002,2.43,8.36,7.52,7.8,7.44,2.78,14.5,1.15,13.6,164.6812414,379.5348799,8.8728,34.2,208.85,0.007055088,12.8,17.56,5.5465680610122465,4.73,0.63,0.63,0.45,90.30275017,58.20819505431015,78.87868269008551,0.61,4.61,1.766,29.2430883827532,44.0,68.80895021389767,91.8198818498744,10.538745525233699
E08000006,Salford,64.075419,12.75,2.80120481927711,857.983433913556,61.827624582663496,20.3,127.4845253,60.40069220558121,51.8097408987655,37.5,1028.821533,31.5,6.0,39.4,11.97434,65.2656158785756,17.8,0.45,57.0,53.2,21.3,20.3,6.8,0.4,291,43.8,103.087039,333.9,11.7,4.92336275,0.76,23.0,3.38,633.5081345,2.01,6.34,7.49,7.67,7.32,2.97,8.6,1.06,17.8,344.1637034,570.6797912000002,9.3296,39.0,186.77,0.015919555,12.3,6.99,10.478758347741623,5.47,0.59,0.59,0.4,72.48076543,58.99390297475829,78.88399530874048,0.535,4.12,1.6680000000000001,31.368388504747852,68.0,63.68589744847708,91.73359720949976,17.526134391474052
E08000007,Stockport,62.37828008,14.68,2.00460072297075,674.777706582704,64.6269677565287,12.2,121.551702,68.1050764185492,50.5490991602122,37.5,614.3583374,17.8,2.1,20.7,10.84258,69.5964621337756,20.4,0.5,58.0,65.8,25.5,12.0,4.3,0.3,207,41.0,47.6844743,225.9,9.8,5.201688095,0.94,19.4,3.08,596.5892664,2.8,6.38,7.64,7.87,7.43,2.81,11.19,0.88,13.8,192.95702880000002,392.82934,9.0954,47.2,180.41,0.009983059,10.7,14.75,3.4504055951777133,6.74,0.58,0.58,0.38,66.85160841,64.82530251431055,81.68689950003622,0.5800000000000001,4.405,1.9380000000000002,25.87337260153305,38.0,71.03510865175285,93.68617349375849,8.68970532220644
E08000008,Tameside,65.89583376,15.59,3.1640625,729.839834803107,66.59282564231499,22.1,174.4053582,63.4181559299171,50.57244824661471,38.6,724.2559204,26.0,4.4,27.1,9.81864,63.03411725736999,16.6,0.46,55.0,63.1,28.9,19.1,5.8,0.3,345,45.1,86.76125340000002,305.4,13.6,4.011461318,0.84,26.8,2.96,755.3530948,2.41,7.69,7.55,7.74,7.41,3.07,11.78,0.89,13.3,230.68489920000002,480.0272621,9.3841,37.9,273.64,0.007652196999999999,11.8,11.57,8.516016834820649,5.26,0.63,0.63,0.4,81.04110547,57.85459080539109,79.23121747665941,0.485,4.685,1.874,28.693955879636153,64.0,66.77715646912678,95.02282064348725,6.9324793649361744
E08000009,Trafford,59.41391606,14.06,2.23179326546594,613.891863346458,36.2134259742332,12.6,75.82312429,64.0242879685659,56.4063501669256,37.5,882.6023560000001,9.9,2.3,35.8,8.19108,73.82165605095541,22.7,0.39,66.0,75.0,27.3,10.6,3.7,0.2,274,44.6,60.95646230000001,219.4,6.8,3.117132238,0.83,19.6,4.64,553.7646323,2.91,6.65,7.78,7.96,7.52,3.03,11.41,0.92,12.7,154.5255845,379.9025259,9.1126,46.0,196.18,0.009373329,11.1,8.43,0.8539345032236026,6.96,0.53,0.53,0.4,55.38619188,64.48724008368558,81.88936808846759,0.65,4.49,1.796,25.183216487796248,40.0,69.93567386589542,91.67917577239132,5.93382084879158
E08000010,Wigan,64.86685312,15.97,2.9384472626043903,691.8326941387088,54.0971190825129,17.7,193.5524116,62.1765261873798,51.5175468181394,37.5,545.6212158,23.1,2.7,19.3,10.0569,66.9551934826884,16.2,0.55,57.0,62.1,31.9,16.0,5.0,0.4,300,34.5,71.808235,294.9,11.0,3.429101019,0.74,23.0,4.96,661.3001339,2.64,7.32,7.74,8.04,7.62,2.91,9.94,0.82,14.9,276.19003349999997,606.4998461,8.5939,37.9,181.49,0.006939846,12.2,34.95,8.654636721623607,4.56,0.66,0.66,0.44,69.68837126,61.45128521355315,79.50485525120081,0.67,4.635,2.008,30.1714813699931,78.0,70.513132058992,93.4336419487968,9.147401895628608
E08000011,Knowsley,69.06083915,15.2,2.7444253859348198,835.5803907810962,52.3211079764042,20.5,187.7192186,61.082706909810895,51.886935970722,37.5,736.6174316,26.3,4.9,26.3,14.94675,65.5373213340392,16.3,0.64,48.0,39.1,23.0,19.3,5.6,0.5,555,45.7,89.26922370000004,344.1,8.4,3.301476977,0.76,26.1,4.75,755.1789612000001,2.71,7.53,7.39,7.71,7.32,3.14,13.09,1.02,23.1,308.5738748,710.1747405,9.4907,37.3,234.08,0.011556676,14.6,8.8,1.3513422206606711,4.48,0.6,0.6,0.53,55.83070385,58.8382112283025,78.58487915622193,0.685,4.61,1.986,33.46985203257185,87.0,66.27891194956956,92.00063001703272,6.24669352541407
E08000012,Liverpool,64.58688089,13.57,3.3601168736303904,897.5777279550801,39.4897052532277,18.9,115.3119169,64.9256445213888,51.8196981048334,37.5,1053.377686,27.6,5.4,34.4,14.25081,59.7463159858235,13.1,0.53,46.0,56.4,23.6,20.9,6.6,0.5,233,44.4,114.53113799999998,350.0,9.3,5.235307363,0.67,21.6,5.4,672.7574132,2.37,6.2,7.37,7.73,7.21,3.0,10.41,1.36,17.5,225.1085664,398.2644384,9.6729,46.8,664.0,0.014112753,17.0,10.09,4.306764696834528,4.03,0.44,0.44,0.45,86.48188595,57.9009134442838,78.35890608176702,0.645,4.295,1.7459999999999998,32.67593811803285,96.0,63.17458314322903,91.97752481206396,8.13969028248776
E08000013,St. Helens,72.09971401,17.59,2.3471615720524,866.850654040688,99.0380471164339,17.6,238.0703135,66.47296857544539,51.2550362053253,37.5,617.4216309,22.6,5.0,21.1,10.84656,65.9754948162111,15.3,0.5,53.0,59.3,31.0,16.2,4.9,0.4,383,39.7,113.013038,305.7,15.8,2.860989566,0.84,25.7,4.33,648.5198696,2.94,7.61,7.54,7.74,7.23,2.99,12.46,1.06,18.5,442.1094961,990.2360293,9.0476,44.5,306.16,0.006682952,12.7,4.55,1.1205737337516808,4.4,0.73,0.73,0.44,67.09435231,58.95780087404753,79.280336732407,0.525,5.29,2.13,34.06542129368215,91.0,71.036031452381,90.546303967521,6.5622115666013805
E08000014,Sefton,67.99268406,16.82,2.3689320388349504,798.325393451654,47.4890181645494,12.8,113.6997797,66.3830636667187,45.86569298567579,37.5,678.6966553,20.9,4.0,36.2,12.24856,69.8051948051948,15.5,0.53,56.0,59.8,27.7,14.1,4.9,0.5,432,52.9,87.40437209999996,269.7,12.8,4.186602871,1.02,24.9,5.97,620.9159006,3.26,6.99,7.43,7.67,7.18,2.91,9.69,1.2,11.1,242.55090499999997,600.5561759999998,8.1932,41.3,575.37,0.005169474,12.7,2.1,1.4553233910490335,6.1,0.57,0.57,0.45,55.05488388,61.32186259564203,80.37287531880678,0.51,4.49,2.214,29.953920664,52.0,67.9649503033627,92.9965723329542,5.709568184225812
E08000015,Wirral,59.62488878,15.81,2.37407763875521,886.388134687015,66.0443384230189,15.7,178.51376100000004,62.88824699854939,48.6279859420806,37.5,703.9796142999999,26.2,3.2,33.3,12.48533,69.5742471443406,16.7,0.66,49.0,65.6,30.5,13.2,4.3,0.3,266,47.5,99.2313275,280.5,11.9,3.892528245,0.98,25.6,4.93,554.2244498,3.05,7.16,7.58,7.82,7.37,2.88,12.92,1.06,16.8,260.0665473,543.3324787,8.2187,45.5,395.86,0.007592359,13.1,8.82,3.4138590262432653,5.53,0.54,0.54,0.47,54.19035678,60.732101137125426,79.90695092732825,0.665,4.575,2.128,28.63237831902415,91.0,70.0764689545027,94.09176563026459,5.447481727491945
E08000016,Barnsley,71.02321347,15.67,3.0698388334612403,771.0081395940359,46.31867246657001,20.6,126.7819724,59.73567466781011,52.365971284607106,38.1,549.7215576,33.8,2.7,22.2,12.66112,65.6542056074766,20.5,0.55,53.0,58.4,30.1,18.8,5.4,0.5,394,45.0,56.356170999999996,262.0,10.7,2.964895636,0.78,21.9,4.86,611.4152707000002,2.61,7.36,7.63,7.84,7.46,2.86,10.97,0.77,14.9,254.55909019999999,495.46512530000007,8.2493,36.2,419.37,0.003905649,12.2,6.3,0.8269691168383316,4.42,0.73,0.73,0.46,72.74847321,59.15741150396738,80.07492960425392,0.48,4.525,2.096,29.32444672230145,46.0,74.05210282194554,94.61218133267063,5.2738650224739745
