Area code,Area name,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,Li.2.6.c,sti_screen,teen_preg,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,Li.5.4.a,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,env_noise,road_safety,road_traff,Pl.2.2.a,house_overcrowd,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E06000001,Hartlepool,16.88,1.79461615154536,838.6309856908659,28.347507086876803,22.8,155.9306727,37.5,539.6846924,35.9,32.3,11.34311,68.37532580364899,18.1,0.63,70.0,54.7,31.1,19.5,9.7,1.1,365,54.3,1.01123595505618,82.6529079,319.3,7.9,4.134860051,0.96,27.4,4.05,693.2032397999999,2.46,6.5,7.56,7.73,7.26,2.87,7.26,0.81,13.9,214.6986307,369.2999419,6.9913,6.811326262527982,336.56,0.004318359,12.8,4.31,3.49,4.3244178252502765,3.89,0.9,0.86,0.4,80.26119484,56.02656273649161,79.10550930830938,0.575,4.695,2.026,33.441521284140485,88.12486125392479,68.55681530019194,92.05286522337593
E06000002,Middlesbrough,13.36,3.75288683602771,922.618092650401,65.9962287869265,20.8,193.63289440000003,37.5,546.3330078,33.9,28.2,16.85405,57.396759017250396,20.3,0.66,67.0,47.0,23.6,24.7,11.0,1.1,265,52.2,0.97846659286505,113.20398700000001,353.8,17.5,4.592617792,0.8,18.6,3.73,727.6547278,1.98,6.34,7.71,7.89,7.5,2.83,6.97,0.9,18.3,339.1245625,535.2420096,7.2911,6.54438064927711,391.62,0.014404812,15.6,6.99,7.11,3.5891177948460267,4.58,0.76,0.62,0.47,101.3853995,59.256848036752565,77.97815303998277,0.47,4.375,1.768,31.6458526706607,94.01968712147928,67.0355888826617,92.02548825850859
E06000003,Redcar and Cleveland,16.71,2.57575757575758,674.157152700666,69.3633177570093,17.3,169.6261279,37.5,429.17425539999994,33.7,20.6,12.44099,65.7685241886099,23.2,0.59,77.0,56.2,32.5,17.4,8.6,1.0,474,54.3,1.2165852851113101,67.706046,291.4,10.7,2.9491833030000003,0.94,21.4,3.63,619.7709325000002,2.97,7.04,7.63,7.76,7.46,2.86,10.04,0.99,20.1,209.5838316,415.3084201,6.9255,4.82720384402144,329.19,0.002357601,12.8,3.85,7.71,2.21690165824244,5.31,1.13,0.71,0.48,74.72436523,60.23348408264609,80.00162129407937,0.51,4.6850000000000005,2.1580000000000004,31.482065933317195,55.81418558185968,72.22676541928752,93.51677697347854
E06000004,Stockton-on-Tees,14.66,2.9242569511025898,852.058874728419,57.192998950155896,18.4,128.5390885,37.5,444.235321,28.9,15.1,10.82299,58.7632926348956,20.4,0.38,69.0,60.6,21.9,15.6,7.3,0.7,367,53.3,0.9270488048077179,88.3080184,276.7,13.6,4.132820294,0.99,20.5,3.74,653.4007243,2.31,6.34,7.61,7.87,7.46,2.81,11.54,0.74,15.4,262.5167722,574.7915045,7.0536,13.726687987351301,327.46,0.004633798,12.3,4.52,9.39,1.5374523389774917,5.48,1.17,0.76,0.47,63.15854209,61.660959472756346,79.93034930917142,0.495,4.54,1.926,29.399952544316697,70.09329614007905,71.52766193241355,94.13426714426636
E06000005,Darlington,15.25,2.1276595744680904,734.96603374685,58.645866932527895,17.9,144.225051,37.5,724.2130737000001,25.1,29.3,13.42562,66.1787365177196,20.3,0.62,72.0,55.2,18.2,16.7,6.9,0.7,368,36.8,0.9749096847627059,88.10572690000002,269.4,14.2,4.08719346,1.0,20.1,4.57,624.7112232999998,2.6,7.14,7.62,7.91,7.56,2.83,9.42,1.01,17.4,193.0311145,403.6453326,6.9301,6.76788113505391,393.02,0.002667128,14.1,4.55,22.63,0.9434140266797488,4.73,1.02,0.76,0.48,67.62391743,61.594682918545615,79.95317081454368,0.71,4.33,2.062,28.905962963166104,43.43833424357861,72.80316590600542,94.80620863478624
E06000006,Halton,15.36,1.68745414526779,840.335453093377,55.49782731910072,20.0,216.0790141,37.5,574.430481,36.6,24.4,11.06007,54.676710608914,15.2,0.64,68.0,58.0,21.0,15.4,5.4,0.5,312,45.0,1.3960765435070401,81.4764958,303.7,9.0,3.015941405,0.73,21.0,4.16,652.251703,2.45,8.05,7.61,7.83,7.35,2.91,9.38,0.85,16.7,340.6265245,833.6885501,8.1422,4.4549185453385896,334.59,0.008465305,10.8,4.95,18.13,0.7891476416322729,4.87,0.87,0.68,0.44,54.54588499,59.7953613901625,79.03478957378135,0.65,4.665,2.018,30.69257695200225,95.69942961247877,67.8842811831457,92.88729113115076
E06000007,Warrington,13.94,2.12285456187895,698.205923625864,57.8026003663334,14.8,175.6835838,37.5,475.0097046,20.3,15.9,10.73933,67.60184473481941,16.5,0.44,74.0,61.3,24.5,11.7,4.5,0.3,311,41.3,1.2335165544114999,67.496119,257.6,12.6,3.939777684,0.75,19.6,3.72,682.8305357,2.48,6.68,7.62,7.82,7.5,2.9,9.4,0.87,15.4,300.825574,733.8453227000001,8.099,4.01275546404741,299.35,0.009339672,9.8,4.49,29.71,2.406379794110145,6.0,0.94,0.77,0.45,47.684822,64.64430048945765,80.16253892319317,0.475,3.975,1.7559999999999998,25.147041065887798,67.63051242287824,72.02615235334112,93.23445537087619
E06000008,Blackburn with Darwen,12.65,4.33194154488518,820.989562253953,56.4544846574081,21.3,222.823078,37.5,652.5887451,25.3,33.6,11.29939,56.02119460500961,14.8,0.47,69.0,56.4,26.4,29.0,7.3,0.5,334,54.3,1.14062909186138,82.38093990000002,330.0,12.4,5.318340678,0.64,22.2,3.63,583.5519754,1.94,8.15,7.59,7.84,7.43,3.05,9.55,1.21,20.2,280.2852147,521.3007602,7.6036,3.56003020127378,826.09,0.003516115,14.0,6.88,7.0,1.3526674602315767,4.25,0.66,0.51,0.38,68.51937020000001,58.99929661292067,78.64848771777946,0.5,4.695,1.6900000000000002,25.421608589700302,120.26843323229271,63.5348886048672,84.62929021507651
E06000009,Blackpool,17.71,2.9152542372881403,1158.24418891614,87.73144941589321,25.3,343.5486067,37.5,1150.183716,43.7,20.0,13.76514,60.436320754716995,19.5,0.5,66.0,44.6,36.1,20.3,6.3,0.9,247,50.0,1.60845225892928,157.931274,402.8,16.5,6.537204384,1.0,26.8,7.87,642.3078205,2.76,7.64,7.45,7.74,7.37,2.81,13.52,1.44,17.1,631.2115056,1437.966351,10.7628,3.609949087135581,989.45,0.010874672,13.4,7.13,16.44,3.5673006949101747,5.18,0.68,0.47,0.45,109.9798804,57.51674633638219,76.88558596481215,0.685,5.34,2.364,31.84620583455925,152.63452196456447,65.21060630349331,89.87369550506253
E06000010,"Kingston upon Hull, City of",14.27,3.2970356926799798,752.449097328274,34.9183032112798,26.8,154.9792043,37.5,890.4014892999999,38.5,34.1,13.351679999999998,60.4658106897581,16.7,0.5,67.0,47.5,29.0,26.1,8.7,1.2,306,54.2,1.00070297316297,120.01010600000001,349.8,12.2,4.069175992,0.69,25.5,3.89,783.3088634,2.2,6.74,7.48,7.65,7.25,3.04,7.81,0.88,18.1,191.067638,291.9873456,9.3829,11.8945772754735,858.27,0.012197683,13.8,8.02,47.11,8.894491989156455,4.53,0.61,0.47,0.4,100.0785036,55.852730415682146,78.33877495775117,0.55,4.445,1.602,30.2822471088106,91.5841154456594,69.05860909248909,90.83005007357912
