Area code,Area name,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,Li.2.6.c,sti_screen,teen_preg,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,Li.5.4.a,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,env_noise,road_safety,road_traff,Pl.2.2.a,house_overcrowd,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E06000011,East Riding of Yorkshire,17.11,1.9549981556621199,579.5799519833561,29.5765795742029,15.7,68.19362259,37.5,489.45672609999997,18.7,23.8,9.51824,68.5043822448403,20.2,0.45,71.0,57.3,28.6,13.0,4.3,0.4,508,47.9,0.975898005228665,45.9289527,211.0,8.5,2.700573872,0.97,19.0,5.2,617.6957324,3.52,7.29,7.79,8.0,7.68,2.65,6.9,0.64,13.2,129.3877385,234.167856,9.4216,4.47428514814785,347.96,0.000910453,10.2,3.12,0.69,4.751214529214031,6.29,1.41,1.15,0.6,37.18419271,64.22738837615366,81.78032284502727,0.55,4.38,2.188,26.3671173652445,43.544210404724204,75.57870213929134,94.20128096910094
E06000012,North East Lincolnshire,15.93,2.6759744037231,726.451841154597,37.877316343576396,22.8,151.5148478,39.9,511.32504270000004,37.6,18.0,11.0321,66.751269035533,18.5,0.56,63.0,52.7,33.0,20.8,7.7,0.9,429,46.3,0.9127285955223392,77.23920840000002,289.9,11.0,3.275297363,0.89,19.0,5.98,679.7440412999998,2.65,7.18,7.65,7.9,7.5,2.75,7.56,0.84,12.5,234.7375551,510.1524506,11.0762,4.72287151923437,633.05,0.003581428,12.2,4.05,9.23,3.7506798107156922,4.86,0.83,0.63,0.43,97.0488401,59.373473942152025,80.09073644598081,0.575,4.305,1.938,29.17161740623155,75.12583479731933,72.73773078550377,95.24060770295713
E06000013,North Lincolnshire,16.95,1.81159420289855,664.1554324252902,42.5029515938607,20.9,105.9637077,39.0,837.4894409,18.7,21.2,10.29682,70.0673226307613,19.2,0.43,67.0,60.5,27.0,17.5,5.3,0.6,379,50.5,0.9763568488561308,49.6876775,256.4,8.3,3.672420125,0.8,18.0,4.77,722.1870337,2.58,7.65,7.62,7.82,7.41,2.81,9.56,0.72,17.1,182.9871824,368.0091083,9.5211,5.717818867035693,404.98,0.001310047,10.8,3.58,11.13,3.532674293317947,4.77,1.53,1.03,0.53,58.23024793,63.161571569037285,80.61911824449639,0.445,4.09,1.928,28.343589811444,63.047404158813016,72.85581058375185,90.5692741474662
E06000014,York,12.14,1.6859852476290802,661.3702983917179,42.8871247376585,14.6,90.35931751,37.5,719.1538086,20.4,56.8,9.73711,69.7283950617284,25.3,0.31,68.0,63.7,23.4,10.5,3.6,0.1,180,45.8,0.9850201409869079,53.2452284,212.2,14.0,2.794214333,0.71,18.2,3.3,597.4610037,2.57,4.89,7.82,7.8,7.56,3.18,7.83,0.81,11.6,254.25151060000002,676.7893671,7.8119,11.3750628456511,526.89,0.0031337070000000003,11.5,7.1,7.23,8.74703572678148,8.64,0.83,0.62,0.42,52.50165222,65.6978530886755,81.83435058119194,0.54,3.665,1.608,23.71235921754595,40.003694265169344,70.51178504726869,91.51875073252829
E06000015,Derby,13.42,3.01047120418848,844.518873805058,33.7627110884755,18.7,109.39709340000002,37.5,732.6231688999999,26.9,34.1,12.80374,60.33717834960071,22.1,0.77,65.0,49.0,20.4,23.5,5.5,0.3,188,42.2,1.13465940484648,80.5484147,272.6,10.2,5.7504873289999985,0.84,18.0,4.94,537.9504599999998,2.05,7.26,7.54,7.65,7.37,2.92,7.95,0.9,17.0,260.5222267,475.41179910000005,10.0072,3.19709038686918,537.0,0.013913156,14.4,7.29,10.24,3.9389463318562288,5.33,0.88,0.55,0.44,71.72033481,60.19398050221565,80.37357636632203,0.53,3.91,1.5859999999999999,28.12323551813315,61.69490680845935,71.4185998540983,90.73281092961416
E06000016,Leicester,11.79,4.79378104081192,751.5152275898157,,20.1,66.95527251,37.5,700.456604,26.2,46.6,12.0835,50.6727430555556,17.5,0.53,66.0,52.0,25.4,29.5,7.5,0.5,215,37.2,1.1388732516346898,69.9690402,306.8,9.6,4.575921629,0.6,18.6,2.62,640.9328677,1.33,8.97,7.43,7.66,7.36,3.26,8.2,1.04,16.3,150.0502584,246.298482,10.6092,6.1378700452678885,937.55,0.012288756,18.2,15.23,20.18,6.39467962655071,6.71,0.54,0.5,0.46,76.74196886,59.50260902928764,79.36467578974293,0.45,3.1950000000000003,1.1340000000000001,28.491841189164447,52.87169907095705,64.93633074240928,90.817415645568
E06000017,Rutland,16.46,1.2779552715655,561.240063775296,,11.6,66.69914561,37.5,394.342041,5.7,23.9,6.29231,74.8110831234257,17.6,0.4,72.0,66.9,,8.9,2.6,0.1,275,48.2,0.897397547113371,45.543266100000004,161.6,5.4,5.8823529410000015,0.89,14.9,4.68,531.3268849,3.37,6.69,7.8,7.95,7.57,2.65,6.85,0.68,12.0,125.08101299999998,383.9733934,9.6854,2.76606098315258,220.12,0.001106489,11.3,2.47,31.22,2.6074259491030456,7.97,2.38,4.11,0.68,26.41322486,70.90633604505632,83.46409574468085,0.55,3.93,2.044,23.212188905117852,34.0,76.70852331377112,92.78473538389058
E06000018,Nottingham,10.42,3.2572454475506496,1000.09907020612,40.5648267008986,24.1,67.79142331,37.5,1064.994385,31.4,48.4,12.79076,57.9687085653673,18.5,0.52,64.0,44.6,25.0,28.2,8.6,0.9,236,46.9,1.22894774722902,89.2609806,326.6,11.3,6.226650062,0.62,22.3,3.37,629.3011428,1.62,5.51,7.35,7.6,7.36,2.81,7.58,0.98,16.4,252.8119826,449.2395999,10.3891,4.65990208525632,999.09,0.01282432,15.8,12.62,25.52,4.389595404720696,5.07,0.52,0.52,0.44,83.38977099,56.99662314696366,79.07411079338802,0.42,3.49,1.202,32.33825870273605,65.06012453417195,68.31282197769306,86.9839206669932
E06000019,"Herefordshire, County of",16.05,2.69254852849092,574.170640906078,50.8130081300813,17.5,84.31523161,37.5,542.8777466,14.3,26.6,10.23342,65.1027938850817,21.1,0.52,70.0,59.3,31.4,13.7,3.3,0.1,285,54.2,1.2882754244010801,74.9146805,195.7,9.833883816497707,3.966754817,0.87,17.7,4.87,551.3658454,3.17,6.56,7.71,7.89,7.57,2.73,7.4,0.81,18.4,174.00474640000004,457.2767645,8.7674,4.217465659846789,336.57,0.0005452359999999999,16.6,5.26,8.76,6.365304845057873,8.67,2.54,4.56,0.83,45.67106226,68.10092933450738,82.16626335387913,0.665,4.175000000000002,1.94,26.94646634316285,34.961219710146025,72.98870105718899,92.76118457649099
E06000020,Telford and Wrekin,13.85,2.4710830704521602,723.4894796036681,32.4223782667679,18.2,60.55105284,37.6,534.9378661999998,25.0,36.0,10.79251,66.6064166290104,20.1,0.4,71.0,55.3,25.0,15.9,5.0,0.3,362,50.5,1.4736411216046297,75.6216355,263.6,10.923078926217684,6.498652718,0.6,21.6,4.46,600.7006251,2.29,7.0,7.59,7.87,7.37,2.91,11.8,0.79,18.7,173.9924115,421.5787346,8.1587,4.13764777369368,256.06,0.003053646,11.7,5.19,3.04,4.659913675099169,6.49,1.0,0.85,0.52,69.12981937,58.89610023474316,80.21403915492466,0.485,4.13,1.584,29.853435990984348,27.454536955813733,70.94112441737903,93.06096755711069
E06000021,Stoke-on-Trent,16.28,3.9095315024232598,1058.4066807315198,34.7259642442313,18.7,121.8042513,38.7,618.3603516,26.9,30.8,13.68832,62.7160493827161,13.9,0.63,68.0,48.9,22.1,26.2,6.3,0.5,320,39.3,1.20539221767357,109.37584,303.7,10.48450930982989,7.934258997000001,0.87,23.1,3.88,708.0903326,2.3,7.83,7.52,7.63,7.29,2.81,11.06,0.93,16.1,361.0678504,587.5329294,8.7299,7.11708418107833,623.26,0.009941091,14.0,6.12,10.6,5.561160852605403,4.04,0.64,0.58,0.49,87.54458859,59.79961151319187,78.70297839886234,0.5800000000000001,4.32,1.84,31.99457675679825,83.74513497225536,68.70154217489703,93.41241479504835
E06000022,Bath and North East Somerset,12.64,2.54545454545455,553.130108681929,53.2053824499628,13.8,60.61245727,37.5,567.0842285,11.4,42.6,10.52169,69.56066945606689,22.4,0.44,73.0,64.5,21.7,10.0,4.0,0.1,229,47.4,1.09206478006559,37.772031299999995,178.4,11.040385959904196,2.98284862,0.78,19.3,3.48,534.4837841,2.6,4.75,7.78,7.78,7.57,3.07,7.61,0.81,14.2,219.32175469999999,487.420984,8.338,4.9366658574747,397.4,0.002204419,12.4,6.9,6.72,11.937901208441179,9.89,0.87,0.74,0.43,48.16943138,65.8624764633425,82.724952926685,0.525,3.75,1.5579999999999998,25.35736816187145,25.82799692065272,71.32553187468554,91.8261253162728
E06000023,"Bristol, City of",10.73,3.7037037037037,800.0375074810339,40.316575924103105,18.1,92.74350017,37.5,1096.938477,17.3,37.4,13.40386,63.6245594509367,21.1,0.48,66.0,55.5,15.7,18.0,5.3,0.3,190,43.6,1.09441213524898,76.20374699999998,265.6,12.771210752582286,3.3818938610000004,0.59,21.8,4.33,636.2193315000002,1.96,5.17,7.45,7.59,7.17,3.0,8.79,0.95,16.1,268.34535159999996,516.4162907,8.8415,7.33889212205112,636.24,0.013507701,12.9,13.1,22.87,21.52494230427836,7.99,0.66,0.51,0.41,92.78359666,62.099561068702286,80.54958969465649,0.56,3.795,1.2739999999999998,29.022832336167703,38.72911318826709,67.2012303122238,89.48346638762008
E06000024,North Somerset,15.96,3.2085561497326203,616.3958650951851,32.206625138449205,11.7,111.0858037,37.5,547.2054443,14.2,30.9,10.61203,72.4110032362459,19.5,0.45,73.0,60.6,26.0,11.8,3.9,0.1,337,52.8,1.27687438611808,54.1494997,206.7,8.719489740918709,3.915662651,1.02,18.5,5.48,520.2179093999998,3.3,6.05,7.66,7.77,7.54,2.83,10.03,0.82,13.1,222.41326180000002,536.466776,8.2373,14.377676364226401,226.59,0.004002571,9.1,4.61,6.71,2.8579458038210737,7.92,1.0,0.82,0.51,54.12473028,66.20259644376277,81.94154310020434,0.845,4.315,2.04,25.49001465032,32.0132977934588,72.846124760258,93.44079389430333
E06000025,South Gloucestershire,13.92,2.46692885234179,627.747802074405,40.2426221859326,12.3,61.08994529,37.5,535.0366211,11.0,23.2,10.58664,75.8530183727034,21.9,0.36,71.0,54.6,26.2,10.3,3.5,0.1,485,46.5,1.04946925695974,30.670008199999998,182.8,9.173084067759602,3.537735849,0.73,18.0,5.39,489.5188059,2.71,5.86,7.72,7.94,7.6,2.83,8.38,0.56,14.2,195.3207424,483.5854432,9.4194,2.74156141570882,155.76,0.005090068,8.8,4.71,1.51,1.0950823501927345,8.38,1.02,0.76,0.47,46.79286882,65.64885673402641,82.96333810302534,0.575,4.07,1.6,22.206250828734298,28.0371362993197,74.37381878900241,92.27916221106608
E06000026,Plymouth,13.98,2.20563284696301,681.132637042138,54.2541029665368,20.6,95.20989656,37.5,1155.49646,24.0,36.2,10.84976,62.631926121372004,28.0,0.52,67.0,53.0,20.8,18.0,6.0,0.4,267,47.5,1.3769439864533701,76.38902320000003,253.2,10.889177328868008,4.456706282,0.71,23.8,4.42,544.2262979,2.54,6.27,7.72,7.79,7.5,2.82,11.03,0.94,16.5,259.6525506,619.5659977000001,11.0064,4.772953181242469,681.16,0.011382511,12.0,8.62,9.15,4.590911525483383,6.8,0.63,0.57,0.4,58.11328839,59.50259233470806,80.7136097572173,0.62,4.4,1.7580000000000002,28.0966912489258,49.001529934394604,73.36423408808271,92.62944271094312
E06000027,Torbay,17.0,3.1152647975077903,882.8281523590649,67.7578785141096,17.0,159.6939744,37.5,814.8063354,23.0,17.8,14.03936,64.4092219020173,24.3,0.61,68.0,61.7,32.3,17.7,5.0,0.4,286,49.4,1.72135308505238,121.654501,231.1,13.073924471297893,4.654410054,1.08,24.2,5.69,625.3441187999998,3.21,7.13,7.68,7.97,7.54,2.75,8.12,1.1,20.7,396.46506760000005,1160.484158,9.1569,3.07581100529611,644.58,0.006931424,10.8,7.65,7.38,15.69612305760477,7.83,0.68,0.57,0.43,56.22201792,62.9968540484786,81.16921093347086,0.62,4.62,2.21,28.136326887565552,54.98508626478301,72.93369956887409,91.12833653638292
E06000030,Swindon,13.85,3.1802120141342796,720.085559899118,41.8786343445994,18.6,155.8253082,37.5,760.5785522000001,20.1,25.0,10.43958,67.5544794188862,22.6,0.5,72.0,54.8,18.4,13.9,4.5,0.2,235,48.7,1.33149678604224,51.4360958,240.7,9.305629235505183,2.995046654,0.62,21.0,3.13,618.6536091,2.22,7.18,7.66,7.86,7.45,3.01,8.51,0.78,16.9,344.9939382,772.6548831,10.1417,5.77595715949034,344.48,0.005652074,9.0,6.95,3.1,8.272667107875579,6.36,0.77,0.65,0.42,73.06143834,62.79651077285093,81.20429443341422,0.5349999999999999,4.06,1.39,27.621714149926,45.0970877353111,69.66980185563536,93.82197855894225
E06000031,Peterborough,11.77,2.64765784114053,708.368018528781,44.998071511221,18.1,140.6593669,37.5,735.4118042,28.3,18.3,11.96027,61.0533159947984,20.0,0.53,62.0,52.0,22.1,23.2,5.2,0.2,236,41.8,1.00674570727719,74.02321540000001,267.6,8.439882352338735,3.6884814,0.62,17.7,2.46,573.1757353999999,1.91,6.54,7.56,7.8,7.47,2.89,7.42,0.85,15.7,317.951587,803.7000168999997,9.5505,4.4187443922639815,473.01,0.0034354940000000003,7.8,8.35,5.29,7.745653397501768,6.72,0.89,0.74,0.49,78.09167755,62.05035604186785,80.50193279871112,0.41,3.435,1.236,26.70383817427385,50.01265576305824,67.09326826929887,91.30878391843292
E06000032,Luton,12.07,3.61022364217252,699.5804592853758,15.816528272044305,15.8,81.2739888,37.5,846.4450072999997,22.3,36.4,10.33863,60.3954278653074,14.6,0.42,62.0,54.6,19.9,25.1,5.2,0.4,267,48.6,1.06082641799983,73.10342309999999,274.2,7.7413675272063305,5.04041845,0.49,19.6,2.54,476.3588326,1.59,7.62,7.56,7.82,7.49,2.8,6.49,0.96,15.2,161.5698983,310.9085704,9.8598,4.76192686988915,855.87,0.01266709,8.9,15.36,5.34,24.814941403963836,8.06,0.56,0.54,0.4,68.74206975,61.65298411375544,80.5350794312228,0.435,3.31,1.13,29.26377617365776,60.76983078032673,66.13380239123337,88.73485895246785
E06000033,Southend-on-Sea,15.22,1.7056530214424899,553.3842325141001,44.5228201278067,18.8,86.24820015,37.5,696.1913452,26.1,22.6,10.76603,68.53582554517129,19.8,0.53,69.0,65.7,25.0,14.0,5.3,0.3,216,44.1,1.19260223385901,60.184216000000006,249.4,11.286949231393061,4.192872117,0.9,19.1,3.47,648.9500916000002,2.33,6.47,7.64,7.77,7.56,2.76,8.49,1.17,12.0,162.58805769999995,313.3925694,11.3623,11.9105519066814,896.51,0.0104984,8.4,9.58,3.52,22.317194282334825,7.96,0.55,0.5,0.45,71.23648415,63.79296785208165,80.79496635682962,0.515,4.04,1.608,27.030235333296343,35.44039693286261,67.08703238981187,91.64071962808436
E06000034,Thurrock,13.95,2.5460930640913104,553.642167339652,10.7824759882554,21.3,33.74193654,37.9,646.9381103999998,24.5,20.5,10.71067,72.45636441038741,18.5,0.43,66.0,53.4,20.7,15.4,5.8,0.4,369,47.9,1.01755204385095,69.8376275,248.3,11.270498255121884,3.200222624,0.56,23.1,5.52,609.9423831,1.89,6.38,7.55,7.87,7.4,2.79,8.55,0.69,15.1,55.29134465,101.3820362,11.1076,7.71866524602867,323.08,0.0065124630000000005,6.8,8.97,6.29,4.2158516020236085,7.67,0.7,0.69,0.55,68.01373163,63.79855817875212,80.77667369308601,0.55,3.635,1.28,29.46679023411696,13.483681407628026,68.48296907736739,90.97339166180616
E06000035,Medway,14.11,2.16912920465262,547.837215799861,23.4771844452982,22.3,48.71229266,37.5,713.5440062999999,28.1,16.4,12.19672,70.6739006282125,19.6,0.38,61.0,59.0,22.7,15.0,7.5,0.6,312,44.9,1.2375032762946,67.96085450000001,265.1,11.689330882278226,3.570421874,0.57,24.3,3.92,593.8838839,2.12,7.01,7.48,7.7,7.39,2.93,8.96,0.67,20.1,202.4109825,385.0013335,10.8317,4.95381513095317,716.54,0.004730335,11.5,7.38,3.15,5.087652992993576,7.13,0.58,0.58,0.45,68.41076257,60.64202510393348,80.21367125039976,0.56,3.585,1.31,27.80036289005815,44.89409157282362,71.4543287072255,84.82469107279476
E06000036,Bracknell Forest,11.09,2.39341810022438,472.627781092873,13.201003276249,16.7,48.98051898,37.5,598.9302368,7.4,32.4,7.617260000000001,73.2339598185353,18.4,0.3,67.0,60.4,10.5,7.8,3.2,0.1,154,42.3,0.8481800358025742,37.738561600000004,179.0,8.12714736441872,2.23914017,0.53,16.6,2.85,630.9590969,2.16,5.4,7.69,7.88,7.47,2.97,10.61,0.63,13.8,206.02635800000002,485.05116160000006,8.5002,4.420836765224991,462.47,0.004190836,6.9,6.17,4.06,4.194454930581772,10.06,0.84,0.78,0.44,35.30892161,68.85475273688185,83.22006711127888,0.47,3.305,1.168,23.948973689486603,34.2658108259938,73.36743227943666,92.0113125864502
E06000037,West Berkshire,12.91,2.37789203084833,456.210637139557,23.3130665075161,14.1,85.67283437,37.5,449.80801389999993,14.6,12.5,8.41135,71.01157523905391,20.7,0.35,70.0,63.3,11.7,6.9,2.8,0.1,237,45.5,0.903798526904892,47.711262700000006,184.1,6.9166103817681375,3.197291706,0.6,13.4,3.79,562.8740547,2.47,4.9,7.87,7.97,7.67,2.94,7.73,0.68,14.2,211.65503950000002,564.3846627,9.0558,3.77515703114985,152.4,0.002739528,8.4,4.97,5.71,9.526228883525977,9.95,1.71,1.53,0.54,41.93445955,69.25414962530165,82.6120716372412,0.52,3.78,1.34,24.13955291938045,28.03799440526825,75.0236591147591,91.23403447403645
E06000038,Reading,11.3,2.64477884176927,599.072219103218,19.582793252328997,17.6,58.03276875,37.5,1086.87793,22.2,43.0,10.12712,67.13729308666021,17.7,0.41,67.0,59.1,14.6,11.3,5.2,0.3,137,43.2,0.966263780050471,57.1827057,252.3,10.990413002150614,3.640145606,0.53,15.0,3.21,456.3405025,1.77,4.92,7.6,7.75,7.57,2.84,7.19,0.84,16.0,223.30132569999998,461.6745263,9.1641,3.22742195759835,1009.14,0.008536244,13.9,13.63,4.73,9.894805845356553,9.69,0.59,0.56,0.37,76.87027291,65.95282465785615,80.93587671071917,0.415,3.285,0.992,29.09879929042129,44.08560042123661,68.20053108026896,88.5160758197859
E06000039,Slough,10.92,2.70506108202443,617.297651570113,21.78430189691,18.2,50.49655605,37.5,718.1773071,22.2,34.3,9.09454,64.9339933993399,19.8,0.35,66.0,69.1,13.8,15.3,4.3,0.2,220,39.1,1.1233611442193099,48.912634499999996,280.1,8.819082113936926,4.112053457,0.37,16.7,2.74,688.0734845,1.22,8.66,7.42,7.63,7.28,3.26,5.99,0.93,15.7,167.589208,306.8664552,9.9646,2.94814061815937,835.58,0.017100999999999998,12.7,20.77,3.17,11.640805817663894,8.79,0.75,0.5,0.39,73.55619770000001,58.9554266697709,80.59044906120323,0.435,3.14,1.092,29.2107768113778,28.0304496819803,64.04103719863348,87.09470168724896
E06000040,Windsor and Maidenhead,11.41,2.31923601637108,488.79219164535004,17.959590920429,13.0,85.72814881,37.5,580.401062,9.1,28.9,8.66371,73.8831615120275,21.5,0.22,74.0,66.4,15.2,6.9,3.5,0.1,182,44.1,0.78506629448709,29.9428092,177.7,7.096640363856393,3.410230692,0.8,11.2,3.34,536.9149149,2.53,5.07,7.83,7.97,7.67,2.98,6.21,0.68,17.1,149.36646580000001,307.8073787,8.9347,3.64021229225308,286.74,0.005998741,8.2,6.68,33.89,23.60447001220688,13.62,0.99,0.69,0.43,48.62520823,69.60239753973981,82.9647848283955,0.37,3.09,1.358,23.10305187276795,31.111268298515128,71.99253222508052,90.63119884880527
